Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy,Period End,Property Type,Region
0.988655922,0.80%,-1.90%,14,0.00%,-33.30%,12,-25.00%,100.00%,37.5,-24.5,20,$401K,-1.10%,26.90%,17,21.40%,21.40%,2/28/2017,All Residential,"Portland, OR - Goose Hollow"
0.991627497,0.70%,3.30%,15,25.00%,15.40%,7,-22.20%,-41.70%,71,-12,-25,$297K,13.70%,4.00%,15,-6.30%,0.00%,8/31/2012,All Residential,"Portland, OR - Center"
1.002331165,0.70%,2.50%,98,15.30%,25.60%,51,10.90%,-3.80%,14.5,0.5,-0.5,$516K,6.10%,11.50%,107,3.90%,2.90%,5/31/2015,All Residential,"Portland, OR - Northwest District"
0.981357977,0.10%,-0.50%,23,-8.00%,-14.80%,10,-23.10%,-37.50%,13,-34.5,-19,$575K,-4.20%,15.00%,23,0.00%,-25.80%,4/30/2014,All Residential,"Portland, OR - Eastmoreland"
0.962247895,-3.30%,-1.70%,10,66.70%,-28.60%,4,0.00%,-80.00%,18.5,14.5,-176.5,$333K,11.20%,38.90%,9,-18.20%,-30.80%,7/31/2012,All Residential,"Portland, OR - Kerns"
0.987706992,0.30%,2.50%,45,7.10%,66.70%,31,-18.40%,-27.90%,51,-14,-24,$317K,0.10%,24.30%,49,16.70%,25.60%,7/31/2013,All Residential,"Portland, OR - Downtown Portland"
1.0354063,-1.60%,1.70%,22,-4.30%,-8.30%,12,0.00%,9.10%,9,0,-15,$294K,6.70%,18.70%,17,-32.00%,13.30%,10/31/2016,All Residential,"Portland, OR - Parkrose"
0.979405102,-2.60%,0.40%,15,7.10%,0.00%,18,-5.30%,12.50%,79.5,25.5,-117,"$1,370K",-4.70%,11.80%,10,-28.60%,-9.10%,10/31/2016,All Residential,"Portland, OR - Dunthorpe"
0.993290375,0.20%,-0.70%,19,-5.00%,-9.50%,20,33.30%,33.30%,10,0,-17,$255K,-2.70%,2.00%,35,12.90%,34.60%,8/31/2014,All Residential,"Portland, OR - Argay"
0.976860208,0.20%,-0.10%,78,-3.70%,-17.00%,53,-8.60%,-18.50%,15,-18,-7,$462K,-2.60%,7.50%,104,19.50%,-8.00%,5/31/2014,All Residential,"Portland, OR - Northwest District"
0.99212214,-0.60%,-1.50%,39,-23.50%,-15.20%,26,-10.30%,44.40%,39.5,2.5,28,$570K,5.70%,5.60%,44,-17.00%,-8.30%,11/30/2017,All Residential,"Portland, OR - Richmond"
0.967489461,-0.40%,2.40%,12,-20.00%,9.10%,21,5.00%,23.50%,144,41,7,$950K,53.10%,24.20%,11,57.10%,37.50%,1/31/2016,All Residential,"Portland, OR - Forest Highlands"
1.002215639,1.40%,1.60%,9,-10.00%,12.50%,8,33.30%,-11.10%,78,0,59,$389K,-2.60%,20.50%,11,10.00%,-15.40%,4/30/2014,All Residential,"Portland, OR - Maplewood"
0.993815419,-0.20%,0.00%,6,50.00%,-33.30%,3,-25.00%,-40.00%,54,30,40,$630K,6.30%,22.30%,4,-20.00%,0.00%,2/28/2018,All Residential,"Portland, OR - Sylvan-Highlands"
1.041316327,0.70%,4.10%,20,-4.80%,-16.70%,1,-75.00%,0.00%,9,-6,-24,$320K,6.70%,14.60%,16,6.70%,23.10%,5/31/2016,All Residential,"Portland, OR - Argay"
0.973019178,-2.70%,-1.10%,4,300.00%,0.00%,5,-28.60%,-16.70%,48,-40,-59,$317K,21.90%,2.30%,6,50.00%,0.00%,3/31/2014,All Residential,"Portland, OR - Marshall Park"
0.991315139,0.00%,1.30%,16,0.00%,166.70%,13,18.20%,-45.80%,40,0,36,$279K,-4.70%,22.90%,18,0.00%,0.00%,7/31/2013,All Residential,"Portland, OR - West Portland Park"
1.030125329,0.00%,3.50%,232,-21.40%,-0.40%,74,-3.90%,-32.10%,11,1,-12,$325K,3.20%,20.40%,171,-9.00%,-3.40%,1/31/2016,All Residential,"Portland, OR - North Portland"
0.995477892,-1.10%,-2.80%,81,-13.80%,19.10%,37,-14.00%,-15.90%,16,3,-2,$295K,-0.80%,12.30%,80,-4.80%,-7.00%,11/30/2017,All Residential,"Portland, OR - Lents"
0.970525285,0.10%,1.50%,9,-10.00%,-10.00%,9,0.00%,-55.00%,9,0,-207,$307K,4.70%,37.10%,9,-10.00%,-47.10%,6/30/2012,All Residential,"Portland, OR - Sullivan's Gulch"
0.953877936,-2.00%,-2.40%,15,-6.30%,7.10%,11,-26.70%,-8.30%,49,9,2,$640K,-11.80%,4.40%,8,-38.50%,-20.00%,12/31/2014,All Residential,"Portland, OR - Hillside"
1.009106401,-1.60%,-0.50%,31,-6.10%,-31.10%,29,16.00%,107.10%,23,14,11.5,$393K,4.20%,12.20%,50,22.00%,13.60%,9/30/2016,All Residential,"Portland, OR - Multnomah Village"
1.00854703,-0.40%,4.40%,8,14.30%,33.30%,3,-25.00%,50.00%,11.5,7.5,-40.5,$304K,1.30%,-19.70%,10,11.10%,25.00%,9/30/2017,All Residential,"Portland, OR - East Columbia"
1.003511677,0.50%,1.30%,12,33.30%,0.00%,9,0.00%,28.60%,6,2,-43,$392K,9.20%,-10.90%,17,21.40%,88.90%,8/31/2014,All Residential,"Portland, OR - Collins View"
0.993450467,-0.10%,-3.90%,17,21.40%,70.00%,7,-12.50%,-22.20%,9,1,-33,$510K,1.50%,24.40%,16,-11.10%,23.10%,9/30/2017,All Residential,"Portland, OR - Collins View"
0.99089791,1.00%,1.10%,8,-11.10%,-38.50%,30,15.40%,76.50%,6,-0.5,-38,$227K,-1.30%,-18.90%,19,11.80%,5.60%,6/30/2012,All Residential,"Portland, OR - West Portland Park"
1.013060128,-0.80%,6.90%,4,0.00%,-42.90%,11,22.20%,37.50%,10.5,-1,-18,$210K,7.70%,24.00%,9,0.00%,-10.00%,6/30/2014,All Residential,"Portland, OR - Glenfair"
0.977932774,-1.00%,-1.40%,28,12.00%,40.00%,17,0.00%,13.30%,15,-3.5,-7.5,$690K,-1.40%,-4.70%,30,11.10%,57.90%,8/31/2015,All Residential,"Portland, OR - Hillside"
0.986110929,-1.60%,-5.40%,15,7.10%,36.40%,5,-16.70%,-37.50%,20,4,15,$295K,6.30%,7.20%,13,-7.10%,-38.10%,6/30/2015,All Residential,"Portland, OR - Sullivan's Gulch"
0.983022239,-0.90%,-0.10%,68,28.30%,38.80%,37,0.00%,-22.90%,32,-29.5,-25.5,$635K,-3.90%,1.00%,61,1.70%,10.90%,6/30/2015,All Residential,"Portland, OR - Southwest Hills"
1.034219557,2.30%,1.30%,11,10.00%,10.00%,6,50.00%,-25.00%,6,0,-36,$258K,-4.20%,16.90%,15,25.00%,50.00%,7/31/2016,All Residential,"Portland, OR - Glenfair"
0.981168762,0.20%,-1.10%,22,15.80%,214.30%,5,-16.70%,-16.70%,35.5,-13.5,6.5,$535K,-0.90%,23.00%,8,0.00%,-33.30%,10/31/2017,All Residential,"Portland, OR - Kerns"
0.99906124,0.30%,-1.30%,134,3.90%,16.50%,93,14.80%,82.40%,18,-8,-1,$541K,4.40%,-1.10%,171,40.20%,20.40%,3/31/2018,All Residential,"Portland, OR - Hawthorne District"
0.994789303,-0.30%,1.60%,21,10.50%,23.50%,10,-28.60%,-37.50%,28,0,-7.5,$259K,3.60%,29.50%,17,-26.10%,30.80%,10/31/2013,All Residential,"Portland, OR - Argay"
0.996494607,-0.20%,-0.50%,13,-27.80%,-45.80%,5,150.00%,-50.00%,28.5,-6.5,-10,$375K,-0.50%,7.30%,15,36.40%,-11.80%,2/28/2018,All Residential,"Portland, OR - Argay"
0.974754701,-0.80%,1.80%,13,-31.60%,-13.30%,7,-12.50%,-36.40%,41,1,-52,$253K,-2.30%,12.40%,8,14.30%,0.00%,1/31/2014,All Residential,"Portland, OR - Argay"
0.990809216,1.20%,-0.30%,10,25.00%,25.00%,8,0.00%,-20.00%,11,3.5,-594,$457K,0.70%,13.60%,13,0.00%,62.50%,6/30/2014,All Residential,"Portland, OR - Marshall Park"
0.985158629,3.10%,-0.40%,15,0.00%,15.40%,10,-23.10%,150.00%,11,-1.5,-10,$380K,8.00%,41.30%,16,-20.00%,23.10%,11/30/2013,All Residential,"Portland, OR - Kerns"
0.992955691,1.80%,0.40%,12,0.00%,-42.90%,12,0.00%,-29.40%,10,-77,-59,$414K,0.00%,-8.10%,26,23.80%,0.00%,4/30/2014,All Residential,"Portland, OR - Bridlemile"
0.990210845,-0.70%,-1.80%,14,-26.30%,-41.70%,9,0.00%,-18.20%,54,-19,42,$500K,-12.60%,8.40%,23,27.80%,0.00%,4/30/2017,All Residential,"Portland, OR - Bridlemile"
0.964848266,-2.90%,,2,0.00%,,7,0.00%,,587.5,-25.5,,$200K,-8.50%,,4,100.00%,,2/28/2013,All Residential,"Portland, OR - East Columbia"
0.976594205,-1.20%,-0.30%,25,-19.40%,38.90%,24,-4.00%,9.10%,43,7,-8,$205K,0.00%,13.90%,26,4.00%,13.00%,11/30/2014,All Residential,"Portland, OR - Southgate"
1.007335079,0.30%,0.90%,61,5.20%,13.00%,21,5.00%,0.00%,9,-2,-17,$294K,6.50%,16.40%,65,10.20%,35.40%,5/31/2016,All Residential,"Portland, OR - Wilkes"
1.005027322,-0.30%,-0.20%,53,0.00%,-13.10%,10,-16.70%,-52.40%,15,-8.5,6,$330K,1.50%,12.20%,54,10.20%,-16.90%,5/31/2017,All Residential,"Portland, OR - Wilkes"
0.943791232,-3.30%,1.40%,15,-6.30%,7.10%,17,13.30%,-43.30%,128.5,72.5,-50.5,$499K,0.00%,-22.30%,8,60.00%,-50.00%,2/29/2012,All Residential,"Portland, OR - Hillside"
0.984048111,-0.40%,0.10%,39,18.20%,-11.40%,42,-10.60%,16.70%,23,4,-5,$400K,3.10%,0.80%,49,-3.90%,28.90%,10/31/2017,All Residential,"Portland, OR - Downtown Portland"
0.973784834,-1.60%,-5.30%,7,-22.20%,-30.00%,8,33.30%,60.00%,71,57,60.5,$469K,-25.60%,9.10%,6,50.00%,-25.00%,1/31/2017,All Residential,"Portland, OR - Collins View"
0.990178459,-0.10%,1.00%,11,-21.40%,-21.40%,3,50.00%,-62.50%,43,13.5,7,$400K,0.00%,-8.50%,7,133.30%,-46.20%,2/28/2015,All Residential,"Portland, OR - Buckman"
0.977255744,-1.30%,-1.50%,26,23.80%,18.20%,8,-11.10%,14.30%,30,18,21,$410K,3.80%,35.30%,15,-31.80%,7.10%,10/31/2014,All Residential,"Portland, OR - Eliot"
1.045983999,0.00%,2.50%,13,-7.10%,85.70%,4,0.00%,0.00%,30.5,6.5,25.5,$480K,5.70%,7.60%,12,9.10%,33.30%,3/31/2016,All Residential,"Portland, OR - Vernon"
0.997787013,-0.10%,-3.00%,23,-8.00%,-8.00%,6,-14.30%,-14.30%,30,12,21,$610K,0.80%,-6.20%,10,-41.20%,-16.70%,1/31/2017,All Residential,"Portland, OR - Alameda"
0.968545766,0.30%,0.90%,8,33.30%,-42.90%,23,0.00%,0.00%,123,22.5,-10.5,$214K,-7.10%,37.50%,14,-6.70%,7.70%,10/31/2013,All Residential,"Portland, OR - Hayden Island"
0.995265133,0.20%,2.40%,6,-40.00%,-57.10%,4,-42.90%,-77.80%,4,-3,-191,$299K,-4.30%,36.50%,11,0.00%,-21.40%,6/30/2012,All Residential,"Portland, OR - Kerns"
1.020791196,-1.30%,-3.00%,7,-36.40%,40.00%,4,0.00%,33.30%,5,-0.5,-1,$446K,2.20%,-0.90%,9,12.50%,-25.00%,3/31/2015,All Residential,"Portland, OR - Vernon"
1.013683477,0.90%,4.30%,14,-26.30%,55.60%,6,20.00%,-40.00%,11,0,-36.5,$357K,1.90%,8.00%,6,-45.50%,-40.00%,1/31/2016,All Residential,"Portland, OR - Markham"
1.037953872,-1.30%,2.60%,7,16.70%,-30.00%,6,20.00%,50.00%,7,-1,1,$290K,2.70%,7.90%,11,10.00%,-8.30%,6/30/2017,All Residential,"Portland, OR - Glenfair"
0.990068568,0.00%,0.90%,106,10.40%,5.00%,68,-1.40%,11.50%,20,0,-0.5,$526K,1.20%,13.20%,90,-14.30%,-10.00%,8/31/2014,All Residential,"Portland, OR - Northwest District"
0.996002051,0.00%,3.00%,22,-26.70%,-29.00%,27,42.10%,-42.60%,44,4,-23.5,$270K,22.80%,11.80%,29,52.60%,-17.10%,3/31/2012,All Residential,"Portland, OR - Woodstock"
0.986893893,0.80%,2.30%,30,3.40%,100.00%,16,33.30%,-46.70%,52,9,-57,$274K,-0.20%,-2.80%,33,43.50%,57.10%,4/30/2012,All Residential,"Portland, OR - King"
1.082388228,0.30%,3.20%,35,29.60%,66.70%,9,-25.00%,12.50%,5.5,-1.5,-2.5,$313K,7.90%,20.40%,40,11.10%,81.80%,5/31/2016,All Residential,"Portland, OR - Madison South"
0.9892276,-3.70%,0.10%,14,40.00%,7.70%,3,-40.00%,-25.00%,59,48.5,29.5,$401K,-6.80%,24.10%,9,12.50%,0.00%,2/29/2016,All Residential,"Portland, OR - Collins View"
1.022639194,0.20%,2.70%,199,-4.80%,15.00%,37,-27.50%,-47.10%,12,1,-22,$355K,-1.40%,12.70%,160,-5.30%,41.60%,1/31/2016,All Residential,"Portland, OR - Central Northeast Portland"
0.981394596,0.20%,1.10%,101,-14.40%,21.70%,61,-10.30%,-23.80%,20.5,3.5,-47,$465K,6.70%,8.90%,100,-14.50%,23.50%,8/31/2013,All Residential,"Portland, OR - Northwest District"
0.99445741,3.50%,0.00%,8,14.30%,33.30%,5,0.00%,-44.40%,7,-20,-146,$298K,-15.90%,-7.70%,11,37.50%,57.10%,2/28/2013,All Residential,"Portland, OR - Brooklyn"
