tripID,vehicle_id,blockID,direction,garage,messageCode,routeNumber
7057545,225,9041,0,ELMO,927,90
7057545,305,9041,0,ELMO,927,90
7057545,221,9041,0,ELMO,927,90
7057545,220,9041,0,ELMO,927,90
7057545,209,9041,0,ELMO,927,90
7057545,309,9041,0,ELMO,927,90
7057545,239,9041,0,ELMO,927,90
7057545,401,9041,0,ELMO,927,90
7057545,201,9041,0,ELMO,927,90
7057545,242,9041,0,ELMO,927,90
7057545,249,9041,0,ELMO,927,90
7057546,307,9042,0,ELMO,927,90
7057546,309,9042,0,ELMO,927,90
7057546,220,9042,0,ELMO,927,90
7057546,105,9042,0,ELMO,927,90
7057546,246,9042,0,ELMO,927,90
7057546,201,9042,0,ELMO,927,90
7057546,228,9042,0,ELMO,927,90
7057546,412,9042,0,ELMO,927,90
7057546,311,9042,0,ELMO,927,90
7057546,315,9042,0,ELMO,927,90
7057546,407,9042,0,ELMO,927,90
7057546,420,9042,0,ELMO,927,90
7057546,304,9042,0,ELMO,927,90
7057546,325,9042,0,ELMO,927,90
7057546,124,9042,0,ELMO,927,90
7057546,408,9042,0,ELMO,927,90
7057547,408,9043,0,ELMO,927,90
7057547,224,9043,0,ELMO,927,90
7057547,246,9043,0,ELMO,927,90
7057547,218,9043,0,ELMO,927,90
7057547,124,9043,0,ELMO,927,90
7057547,118,9043,0,ELMO,927,90
7057547,401,9043,0,ELMO,927,90
7057547,407,9043,0,ELMO,927,90
7057547,239,9043,0,ELMO,927,90
7057547,521,9043,0,ELMO,927,90
7057547,307,9043,0,ELMO,927,90
7057547,105,9043,0,ELMO,927,90
7057548,242,9044,0,ELMO,927,90
7057548,302,9044,0,ELMO,927,90
7057548,315,9044,0,ELMO,927,90
7057548,224,9044,0,ELMO,927,90
7057548,219,9044,0,ELMO,927,90
7057548,221,9044,0,ELMO,927,90
7057548,118,9044,0,ELMO,927,90
7057548,325,9044,0,ELMO,927,90
7057548,251,9044,0,ELMO,927,90
7057548,216,9044,0,ELMO,927,90
7057548,214,9044,0,ELMO,927,90
7057548,310,9044,0,ELMO,927,90
7057548,235,9044,0,ELMO,927,90
7057548,207,9044,0,ELMO,927,90
7057549,320,9045,0,ELMO,927,90
7057549,246,9045,0,ELMO,927,90
7057549,239,9045,0,ELMO,927,90
7057549,118,9045,0,ELMO,927,90
7057549,536,9045,0,ELMO,927,90
7057549,201,9045,0,ELMO,927,90
7057549,408,9045,0,ELMO,927,90
7057549,325,9045,0,ELMO,927,90
7057549,521,9045,0,ELMO,927,90
7057549,228,9045,0,ELMO,927,90
7057549,407,9045,0,ELMO,927,90
7057549,105,9045,0,ELMO,927,90
7057549,212,9045,0,ELMO,927,90
7057550,326,9046,0,ELMO,927,90
7057550,327,9046,0,ELMO,927,90
7057550,213,9046,0,ELMO,927,90
7057550,212,9046,0,ELMO,927,90
7057550,224,9046,0,ELMO,927,90
7057550,202,9046,0,ELMO,927,90
7057550,323,9046,0,ELMO,927,90
7057551,305,9040,0,ELMO,927,90
7057551,225,9040,0,ELMO,927,90
7057551,209,9040,0,ELMO,927,90
7057551,245,9040,0,ELMO,927,90
7057551,229,9040,0,ELMO,927,90
7057551,204,9040,0,ELMO,927,90
7057551,226,9040,0,ELMO,927,90
7057551,240,9040,0,ELMO,927,90
7057551,215,9040,0,ELMO,927,90
7057551,312,9040,0,ELMO,927,90
7057551,223,9040,0,ELMO,927,90
7057551,241,9040,0,ELMO,927,90
