bearing,delay,event_timestamp,lastLocID,lastStopSeq,nextLocID,nextStopSeq,tripID,vehicle_id,vehicle_location_latitude,vehicle_location_longitude
256,-214,2017-01-31 07:13:34,10117,30,10121,31,7127911,223,45.511089,-122.713078
272,-67,2017-01-31 07:13:39,13728,9,13729,10,7130119,523,45.507971000000005,-122.680862
358,18,2017-01-31 07:13:42,7787,6,9299,7,7129360,203,45.524729,-122.67650800000001
270,-140,2017-01-31 07:13:52,9842,44,9844,45,7127910,315,45.52133,-122.978249
180,-562,2017-01-31 07:13:53,8347,16,13124,17,7129359,321,45.513731,-122.56450500000001
92,-109,2017-01-31 07:14:25,8357,46,8359,47,7127546,114,45.502034,-122.420162
85,-284,2017-01-31 07:14:25,9824,14,9821,15,7127287,417,45.490843,-122.802774
272,-171,2017-01-31 07:14:28,8374,5,8375,6,7127665,209,45.530101,-122.657182
305,-722,2017-01-31 07:14:34,9827,25,9829,26,7127663,109,45.510138,-122.851772
233,-98,2017-01-31 07:14:35,8371,14,8372,15,7127666,106,45.532039000000005,-122.596571
107,-46,2017-01-31 07:14:40,8343,31,8344,32,7127547,221,45.53436,-122.627723
352,-26,2017-01-31 07:14:42,13729,10,10293,11,7130119,532,45.508659,-122.683881
190,-101,2017-01-31 07:14:42,11498,1,11499,2,7128426,413,45.59594,-122.68571499999999
217,-254,2017-01-31 07:15:16,9624,20,9818,21,7127664,249,45.491361,-122.80166200000001
182,-554,2017-01-31 07:15:16,13124,17,13125,18,7129359,321,45.503071000000006,-122.566713
270,-110,2017-01-31 07:15:22,9844,45,9845,46,7127910,315,45.5214,-122.984948
10,-181,2017-01-31 07:15:33,11515,15,11516,16,7128218,122,45.596391,-122.68553500000002
357,26,2017-01-31 07:15:34,9299,7,7763,8,7129360,120,45.527308000000005,-122.676573
271,-74,2017-01-31 07:16:04,9845,46,9848,47,7127910,230,45.521419,-122.98978000000001
295,-701,2017-01-31 07:16:32,9829,26,9832,27,7127663,227,45.516942,-122.86911299999998
270,-191,2017-01-31 07:16:37,8375,6,8376,7,7127665,242,45.530107,-122.66230300000001
296,-57,2017-01-31 07:16:50,8372,15,8373,16,7127666,306,45.531965,-122.61723899999998
